Movie,Year,Adjusted Costs,Nominal Costs,Image,Movie Wikipedia Profile,Description
2012,2009,$220000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/d/dd/2012_Poster.jpg,http://en.wikipedia.org/wiki/2012_(film),"2012 is a 2009 American epicscience fictiondisaster film directed and co-written by Roland Emmerich. It stars John Cusack, Chiwetel Ejiofor, Amanda Peet, Oliver Platt, Thandie Newton, Danny Glover, and Woody Harrelson. It was produced by Columbia Pictures and distributed by Sony Pictures Releasing. Filming began in August 2008 in Vancouver, although it was originally planned to be filmed in Los Angeles."
Armageddon,1998,$203000000,"$140,000,000.00",http://upload.wikimedia.org/wikipedia/en/f/fc/Armageddon-poster06.jpg,http://en.wikipedia.org/wiki/Armageddon_(film),"Armageddon is a 1998 American science fictiondisasterthriller film, directed by Michael Bay, produced by Jerry Bruckheimer, and released by Touchstone Pictures. The film follows a group of blue-collardeep-core drillers sent by NASA to stop a gigantic asteroid on a collision course with Earth. It features an ensemble cast including Bruce Willis, Ben Affleck, Billy Bob Thornton, Liv Tyler, Owen Wilson, Will Patton, Peter Stormare, William Fichtner, Michael Clarke Duncan, Keith David and Steve Buscemi."
Avatar,2009,$261000000,"$237,000,000.00",http://upload.wikimedia.org/wikipedia/en/b/b0/Avatar-Teaser-Poster.jpg,http://en.wikipedia.org/wiki/Avatar_(2009_film),"Avatar (marketed as James Cameron's Avatar) is a 2009 Americanepicscience fiction film directed, written, co-produced, and co-edited by James Cameron, and starring Sam Worthington, Zoe Saldana, Stephen Lang, Michelle Rodriguez, Joel David Moore, Giovanni Ribisi, and Sigourney Weaver. The film is set in the mid-22nd century, when humans are mining a precious mineral called unobtanium on Pandora, a lush habitable moon of a gas giant in the Alpha Centauri star system. The expansion of the mining colony threatens the continued existence of a local tribe of Na'vi – a humanoid species indigenous to Pandora. The film's title refers to a genetically engineered Na'vi body with the mind of a remotely located human, and is used to interact with the natives of Pandora."
Battleship,2012,$215000000,"$209,000,000.00",http://upload.wikimedia.org/wikipedia/en/6/6e/Battleship_Poster.jpg,http://en.wikipedia.org/wiki/Battleship_(film),"Battleship is a 2012 American military science fictionwar film loosely inspired by the classic board game. The film was directed by Peter Berg and released by Universal Pictures (a wholly owned subsidiary of NBCUniversal Entertainment Japan). It was also the only Hasbro property to be produced in association with Dentsu Inc., which left NBCUniversal Entertainment Japan before being spun off as a separate company in February 17, 2014. The film stars Taylor Kitsch, Liam Neeson, Alexander Skarsgård, Rihanna, John Tui, Brooklyn Decker and Tadanobu Asano."
Wild Wild West,1999,$241000000,"$170,000,000.00",http://upload.wikimedia.org/wikipedia/en/3/31/Wild_wild_west_poster.jpg,http://en.wikipedia.org/wiki/Wild_Wild_West,"Wild Wild West is a 1999 American steampunkwesternaction-comedy film directed by Barry Sonnenfeld. A big-screen adaptation of the 1965–1969 TV series The Wild Wild West, it stars Will Smith, Kevin Kline (who appears in dual roles as the protagonist Artemus Gordon and as President Ulysses S. Grant), Kenneth Branagh and Salma Hayek."
X-Men: Days of Future Past,2014,$200000000,"$200,000,000.00",http://upload.wikimedia.org/wikipedia/en/0/0c/X-Men_Days_of_Future_Past_poster.jpg,http://en.wikipedia.org/wiki/X-Men:_Days_of_Future_Past,"X-Men: Days of Future Past is a 2014 superhero film based on the fictional X-Men characters that appear in Marvel Comics. Directed by Bryan Singer, it is the seventh installment of the X-Men film series and acts as a sequel to both 2006's X-Men: The Last Stand and 2011's X-Men: First Class. The story, inspired by the 1981 Uncanny X-Men storyline ""Days of Future Past"" produced by Chris Claremont and John Byrne, focuses on two time periods and Wolverine going to 1973 to save the future of mankind. The film stars an ensemble cast, including Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Anna Paquin, Ellen Page, Nicholas Hoult, Shawn Ashmore, Peter Dinklage, Ian McKellen, and Patrick Stewart. Simon Kinberg wrote the screenplay from a story conceived by him, Matthew Vaughn, and Jane Goldman."
X-Men: The Last Stand,2006,$246000000,"$210,000,000.00",http://upload.wikimedia.org/wikipedia/en/5/56/X-Men_The_Last_Stand.jpg,http://en.wikipedia.org/wiki/X-Men:_The_Last_Stand,"X-Men: The Last Stand (also known as X-Men 3 or X3) is a 2006 superhero film, based on the X-Men superhero team introduced in Marvel Comics. The film, distributed by 20th Century Fox, is the third installment in the X-Men film series. It was directed by Brett Ratner, written by Simon Kinberg and Zak Penn, and features an ensemble cast, including Hugh Jackman, Halle Berry, Patrick Stewart, Ian McKellen, Anna Paquin, and Famke Janssen. The film's script is loosely based on two X-Men comic book story arcs: ""The Dark Phoenix Saga"" by writer Chris Claremont and artist John Byrne, and ""Gifted"" by writer Joss Whedon and artist John Cassaday, with a plot that revolves around a ""mutant cure"" that causes serious repercussions among mutants and humans, and on the resurrection of Jean Grey."
